"Time","{}"
2025-12-17 22:23:50,51
2025-12-17 22:23:55,51
2025-12-17 22:24:00,51
2025-12-17 22:24:05,51
2025-12-17 22:24:10,51
2025-12-17 22:24:15,51
2025-12-17 22:24:20,51
2025-12-17 22:24:25,51
2025-12-17 22:24:30,51
2025-12-17 22:24:35,51
2025-12-17 22:24:40,51
2025-12-17 22:24:45,51
2025-12-17 22:24:50,50
2025-12-17 22:24:55,50
2025-12-17 22:25:00,50
2025-12-17 22:25:05,50
2025-12-17 22:25:10,50
2025-12-17 22:25:15,50
2025-12-17 22:25:20,50
2025-12-17 22:25:25,50
2025-12-17 22:25:30,50
2025-12-17 22:25:35,50
2025-12-17 22:25:40,50
2025-12-17 22:25:45,50
2025-12-17 22:25:50,50
2025-12-17 22:25:55,50
2025-12-17 22:26:00,50
2025-12-17 22:26:05,50
2025-12-17 22:26:10,50
2025-12-17 22:26:15,50
2025-12-17 22:26:20,50
2025-12-17 22:26:25,49
2025-12-17 22:26:30,49
2025-12-17 22:26:35,49
2025-12-17 22:26:40,49
2025-12-17 22:26:45,49
2025-12-17 22:26:50,49
2025-12-17 22:26:55,49
2025-12-17 22:27:00,49
2025-12-17 22:27:05,49
2025-12-17 22:27:10,49
2025-12-17 22:27:15,49
2025-12-17 22:27:20,48
2025-12-17 22:27:25,48
2025-12-17 22:27:30,48
2025-12-17 22:27:35,48
2025-12-17 22:27:40,48
2025-12-17 22:27:45,48
2025-12-17 22:27:50,48
2025-12-17 22:27:55,48
2025-12-17 22:28:00,48
2025-12-17 22:28:05,48
2025-12-17 22:28:10,48
2025-12-17 22:28:15,48
2025-12-17 22:28:20,48
2025-12-17 22:28:25,47
2025-12-17 22:28:30,47
2025-12-17 22:28:35,47
2025-12-17 22:28:40,47
2025-12-17 22:28:45,47
2025-12-17 22:28:50,47
2025-12-17 22:28:55,47
2025-12-17 22:29:00,47
2025-12-17 22:29:05,47
2025-12-17 22:29:10,47
2025-12-17 22:29:15,47
2025-12-17 22:29:20,47
2025-12-17 22:29:25,46
2025-12-17 22:29:30,46
2025-12-17 22:29:35,46
2025-12-17 22:29:40,46
2025-12-17 22:29:45,46
2025-12-17 22:29:50,46
2025-12-17 22:29:55,46
2025-12-17 22:30:00,46
2025-12-17 22:30:05,46
2025-12-17 22:30:10,46
2025-12-17 22:30:15,46
2025-12-17 22:30:20,46
2025-12-17 22:30:25,46
2025-12-17 22:30:30,46
2025-12-17 22:30:35,45
2025-12-17 22:30:40,45
2025-12-17 22:30:45,45
2025-12-17 22:30:50,45
2025-12-17 22:30:55,45
2025-12-17 22:31:00,45
2025-12-17 22:31:05,45
2025-12-17 22:31:10,45
2025-12-17 22:31:15,45
2025-12-17 22:31:20,45
2025-12-17 22:31:25,45
2025-12-17 22:31:30,45
2025-12-17 22:31:35,45
2025-12-17 22:31:40,45
2025-12-17 22:31:45,44
2025-12-17 22:31:50,44
2025-12-17 22:31:55,44
2025-12-17 22:32:00,44
2025-12-17 22:32:05,44
2025-12-17 22:32:10,44
2025-12-17 22:32:15,44
2025-12-17 22:32:20,44
2025-12-17 22:32:25,44
2025-12-17 22:32:30,44
2025-12-17 22:32:35,44
2025-12-17 22:32:40,44
